Code commune;Libellé des communes;Typo degré de densité;Région;Population municipale 2010;Part population dense (1);Part population intermédiaire (2);Part population peu dense (3);Part population très peu dense (4)
01174;Giron;4;84;162;0,00 %;0,00 %;0,00 %;100,00 %
01175;Gorrevod;3;84;799;0,00 %;0,00 %;95,53 %;4,47 %
01177;Grand-Corent;3;84;161;0,00 %;0,00 %;82,40 %;17,60 %
01179;Grièges;3;84;1 899;0,00 %;0,00 %;99,52 %;0,48 %
01180;Grilly;3;84;762;0,00 %;0,12 %;99,46 %;0,41 %
01181;Groissiat;2;84;1 143;0,00 %;47,97 %;51,18 %;0,85 %
01183;Guéreins;2;84;1 308;0,00 %;79,59 %;19,84 %;0,57 %
01184;Hautecourt-Romanèche;3;84;773;0,00 %;0,00 %;56,24 %;43,76 %
01185;Hauteville-Lompnes;3;84;4 044;0,00 %;0,00 %;91,25 %;8,75 %
01186;Hostiaz;4;84;82;0,00 %;0,00 %;0,00 %;100,00 %
01187;Haut Valromey;4;84;683;0,00 %;0,00 %;0,00 %;100,00 %
01188;Illiat;3;84;570;0,00 %;0,00 %;87,15 %;12,85 %
01189;Injoux-Génissiat;3;84;1 055;0,00 %;0,00 %;76,25 %;23,75 %
01190;Innimond;4;84;114;0,00 %;0,00 %;0,00 %;100,00 %
01191;Izenave;4;84;164;0,00 %;0,00 %;0,00 %;100,00 %
01192;Izernore;3;84;2 278;0,00 %;0,00 %;93,68 %;6,32 %
01193;Izieu;3;84;201;0,00 %;0,00 %;100,00 %;0,00 %
01194;Jassans-Riottier;2;84;5 976;0,00 %;97,90 %;2,10 %;0,00 %
01195;Jasseron;3;84;1 552;0,00 %;0,00 %;93,61 %;6,39 %
01196;Jayat;3;84;1 049;0,00 %;0,00 %;93,38 %;6,62 %
01197;Journans;3;84;324;0,00 %;0,00 %;99,11 %;0,89 %
01198;Joyeux;4;84;223;0,00 %;0,00 %;0,00 %;100,00 %
01199;Jujurieux;3;84;2 097;0,00 %;0,00 %;82,13 %;17,87 %
01200;Labalme;4;84;204;0,00 %;0,00 %;0,00 %;100,00 %
01202;Lagnieu;2;84;6 756;0,00 %;82,29 %;16,08 %;1,62 %
01203;Laiz;3;84;1 130;0,00 %;0,00 %;98,81 %;1,19 %
01204;Le Poizat-Lalleyriat;3;84;661;0,00 %;0,00 %;79,76 %;20,24 %
01205;Lancrans;3;84;1 052;0,00 %;61,22 %;34,45 %;4,33 %
01206;Lantenay;3;84;257;0,00 %;0,00 %;91,46 %;8,54 %
01207;Lapeyrouse;4;84;292;0,00 %;0,00 %;0,00 %;100,00 %
01208;Lavours;4;84;148;0,00 %;0,00 %;0,00 %;100,00 %
01209;Léaz;3;84;569;0,00 %;0,00 %;81,53 %;18,47 %
01210;Lélex;4;84;225;0,00 %;0,00 %;0,00 %;100,00 %
01211;Lent;3;84;1 328;0,00 %;0,00 %;88,93 %;11,07 %
01212;Lescheroux;3;84;683;0,00 %;0,00 %;67,83 %;32,17 %
01213;Leyment;3;84;1 273;0,00 %;0,00 %;94,92 %;5,08 %
01214;Leyssard;4;84;153;0,00 %;0,00 %;0,00 %;100,00 %
01215;Lhôpital;4;84;59;0,00 %;0,00 %;0,00 %;100,00 %
01216;Lhuis;3;84;854;0,00 %;0,00 %;95,55 %;4,45 %
01218;Lochieu;4;84;91;0,00 %;0,00 %;15,24 %;84,76 %
01219;Lompnas;4;84;149;0,00 %;0,00 %;0,00 %;100,00 %
01221;Lompnieu;4;84;122;0,00 %;0,00 %;0,00 %;100,00 %
01224;Loyettes;3;84;2 645;0,00 %;90,51 %;0,11 %;9,38 %
01225;Lurcy;3;84;393;0,00 %;0,00 %;96,58 %;3,42 %
01227;Magnieu;3;84;419;0,00 %;0,00 %;97,01 %;2,99 %
01228;Maillat;3;84;668;0,00 %;0,00 %;94,19 %;5,81 %
01229;Malafretaz;3;84;952;0,00 %;0,00 %;98,90 %;1,10 %
01230;Mantenay-Montlin;3;84;288;0,00 %;0,00 %;71,38 %;28,62 %
01231;Manziat;3;84;1 924;0,00 %;0,00 %;98,61 %;1,39 %
01232;Marboz;3;84;2 182;0,00 %;0,00 %;89,32 %;10,68 %
01233;Marchamp;4;84;118;0,00 %;0,00 %;0,00 %;100,00 %
01234;Marignieu;4;84;148;0,00 %;0,00 %;0,00 %;100,00 %
01235;Marlieux;3;84;887;0,00 %;0,00 %;86,64 %;13,36 %
01236;Marsonnas;3;84;1 005;0,00 %;0,00 %;88,31 %;11,69 %
01237;Martignat;3;84;1 604;0,00 %;0,09 %;99,73 %;0,18 %
01238;Massieux;2;84;2 428;0,00 %;83,52 %;16,31 %;0,17 %
01239;Massignieu-de-Rives;3;84;608;0,00 %;0,00 %;97,16 %;2,84 %
01240;Matafelon-Granges;4;84;652;0,00 %;0,00 %;19,18 %;80,82 %
01241;Meillonnas;3;84;1 298;0,00 %;0,00 %;96,34 %;3,66 %
01242;Mérignat;3;84;139;0,00 %;0,00 %;85,52 %;14,48 %
01243;Messimy-sur-Saône;3;84;1 209;0,00 %;0,00 %;98,81 %;1,19 %
01244;Meximieux;2;84;7 268;0,00 %;96,92 %;2,96 %;0,11 %
01245;Bohas-Meyriat-Rignat;3;84;811;0,00 %;0,00 %;64,38 %;35,62 %
01246;Mézériat;3;84;2 072;0,00 %;0,00 %;93,64 %;6,36 %
01247;Mijoux;4;84;379;0,00 %;0,00 %;0,00 %;100,00 %
01248;Mionnay;3;84;2 077;0,00 %;0,00 %;96,83 %;3,17 %
01249;Miribel;2;84;9 066;0,00 %;88,95 %;10,72 %;0,33 %
01250;Misérieux;2;84;1 762;0,00 %;70,31 %;28,42 %;1,27 %
01252;Mogneneins;3;84;727;0,00 %;0,00 %;96,88 %;3,12 %
01254;Montagnat;3;84;1 646;0,00 %;0,00 %;99,79 %;0,21 %
01255;Montagnieu;3;84;495;0,00 %;0,00 %;97,26 %;2,74 %
01257;Montanges;4;84;330;0,00 %;0,00 %;0,00 %;100,00 %
01258;Montceaux;3;84;1 164;0,00 %;23,46 %;72,29 %;4,25 %
01259;Montcet;3;84;665;0,00 %;0,00 %;96,35 %;3,65 %
01260;Le Montellier;4;84;244;0,00 %;0,00 %;0,06 %;99,94 %
01261;Monthieux;3;84;599;0,00 %;0,00 %;81,95 %;18,05 %
01262;Montluel;2;84;6 999;0,00 %;80,91 %;13,30 %;5,79 %
01263;Montmerle-sur-Saône;2;84;3 823;0,00 %;87,55 %;12,45 %;0,00 %
01264;Montracol;3;84;967;0,00 %;0,00 %;90,67 %;9,33 %
01265;Montréal-la-Cluse;2;84;3 457;0,00 %;98,34 %;1,17 %;0,48 %
01266;Montrevel-en-Bresse;3;84;2 362;0,00 %;0,00 %;97,49 %;2,51 %
01267;Nurieux-Volognat;3;84;1 058;0,00 %;32,53 %;55,67 %;11,80 %
01268;Murs-et-Gélignieux;3;84;241;0,00 %;0,00 %;73,03 %;26,97 %
01269;Nantua;3;84;3 713;0,00 %;1,54 %;97,91 %;0,54 %
01272;Neuville-les-Dames;3;84;1 504;0,00 %;0,00 %;85,25 %;14,75 %
01273;Neuville-sur-Ain;3;84;1 571;0,00 %;0,00 %;85,51 %;14,49 %
01274;Les Neyrolles;3;84;637;0,00 %;0,00 %;97,20 %;2,80 %
01275;Neyron;2;84;2 472;0,00 %;95,37 %;3,78 %;0,85 %
01276;Niévroz;3;84;1 488;0,00 %;0,00 %;97,82 %;2,18 %
01277;Nivollet-Montgriffon;4;84;143;0,00 %;0,00 %;0,00 %;100,00 %
01279;Oncieu;4;84;91;0,00 %;0,00 %;0,00 %;100,00 %
01280;Ordonnaz;4;84;141;0,00 %;0,00 %;0,00 %;100,00 %
01281;Ornex;2;84;3 531;0,00 %;88,49 %;11,13 %;0,39 %
01282;Outriaz;3;84;256;0,00 %;0,00 %;99,23 %;0,77 %
01283;Oyonnax;2;84;22 650;0,00 %;95,64 %;3,68 %;0,67 %
01284;Ozan;3;84;618;0,00 %;0,00 %;94,78 %;5,22 %
01285;Parcieux;2;84;1 095;0,00 %;81,85 %;18,13 %;0,03 %
01286;Parves et Nattages;3;84;924;0,00 %;0,00 %;97,17 %;2,83 %
01288;Péron;3;84;2 143;0,00 %;0,00 %;98,99 %;1,01 %
01289;Péronnas;2;84;6 054;0,00 %;90,71 %;8,23 %;1,05 %
01290;Pérouges;3;84;1 204;0,00 %;36,44 %;60,93 %;2,63 %
01291;Perrex;3;84;826;0,00 %;0,00 %;93,36 %;6,64 %
01293;Peyriat;4;84;171;0,00 %;0,00 %;0,00 %;100,00 %
01294;Peyrieu;3;84;821;0,00 %;0,00 %;95,60 %;4,40 %
01295;Peyzieux-sur-Saône;3;84;473;0,00 %;0,00 %;90,42 %;9,58 %
01296;Pirajoux;3;84;360;0,00 %;0,00 %;70,78 %;29,22 %
01297;Pizay;3;84;777;0,00 %;0,00 %;97,90 %;2,10 %
01298;Plagne;4;84;129;0,00 %;0,00 %;0,00 %;100,00 %
01299;Le Plantay;3;84;540;0,00 %;0,00 %;72,46 %;27,54 %
01301;Polliat;3;84;2 403;0,00 %;0,00 %;97,96 %;2,04 %
01302;Pollieu;4;84;157;0,00 %;0,00 %;0,00 %;100,00 %
01303;Poncin;3;84;1 644;0,00 %;0,00 %;81,90 %;18,10 %
01304;Pont-d'Ain;3;84;2 627;0,00 %;0,00 %;98,67 %;1,33 %
01305;Pont-de-Vaux;3;84;2 205;0,00 %;0,00 %;99,90 %;0,10 %
01306;Pont-de-Veyle;3;84;1 593;0,00 %;0,00 %;98,72 %;1,28 %
01307;Port;2;84;847;0,00 %;94,76 %;0,88 %;4,36 %
01308;Pougny;3;84;802;0,00 %;0,00 %;96,07 %;3,93 %
01309;Pouillat;4;84;88;0,00 %;0,00 %;0,00 %;100,00 %
01310;Prémeyzel;4;84;234;0,00 %;0,00 %;0,00 %;100,00 %
01311;Prémillieu;4;84;36;0,00 %;0,00 %;0,00 %;100,00 %
01313;Prévessin-Moëns;2;84;5 980;0,00 %;80,63 %;18,21 %;1,16 %
01314;Priay;3;84;1 488;0,00 %;0,00 %;95,47 %;4,53 %
01317;Ramasse;4;84;250;0,00 %;0,00 %;0,00 %;100,00 %
01318;Rancé;3;84;641;0,00 %;0,00 %;96,06 %;3,94 %
01319;Relevant;3;84;466;0,00 %;0,00 %;81,68 %;18,32 %
01320;Replonges;3;84;3 500;0,00 %;1,53 %;97,87 %;0,59 %
01321;Revonnas;3;84;788;0,00 %;0,00 %;95,31 %;4,69 %
01322;Reyrieux;2;84;4 093;0,00 %;84,88 %;14,01 %;1,11 %
01323;Reyssouze;3;84;929;0,00 %;0,00 %;88,61 %;11,39 %
01325;Rignieux-le-Franc;3;84;950;0,00 %;0,00 %;95,48 %;4,52 %
01328;Romans;4;84;587;0,00 %;0,00 %;15,67 %;84,33 %
01329;Rossillon;4;84;148;0,00 %;0,00 %;0,00 %;100,00 %
01330;Ruffieu;4;84;202;0,00 %;0,00 %;0,00 %;100,00 %
01331;Saint-Alban;4;84;163;0,00 %;0,00 %;0,00 %;100,00 %
01332;Saint-André-de-Bâgé;3;84;635;0,00 %;0,00 %;100,00 %;0,00 %
01333;Saint-André-de-Corcy;3;84;2 991;0,00 %;0,00 %;95,67 %;4,33 %
01334;Saint-André-d'Huiriat;3;84;543;0,00 %;0,00 %;89,79 %;10,21 %
01335;Saint-André-le-Bouchoux;4;84;316;0,00 %;0,00 %;0,00 %;100,00 %
01336;Saint-André-sur-Vieux-Jonc;3;84;1 079;0,00 %;0,00 %;86,05 %;13,95 %
01337;Saint-Bénigne;3;84;1 161;0,00 %;0,00 %;96,91 %;3,09 %
01338;Groslée-Saint-Benoit;4;84;1 126;0,00 %;0,00 %;46,22 %;53,78 %
01339;Saint-Bernard;2;84;1 375;0,00 %;53,78 %;46,22 %;0,00 %
01341;Saint-Champ;4;84;139;0,00 %;0,00 %;39,33 %;60,67 %
01342;Sainte-Croix;3;84;534;0,00 %;0,00 %;89,20 %;10,80 %
01343;Saint-Cyr-sur-Menthon;3;84;1 636;0,00 %;0,00 %;94,93 %;5,07 %
01344;Saint-Denis-lès-Bourg;2;84;5 405;0,00 %;87,59 %;12,41 %;0,00 %
01345;Saint-Denis-en-Bugey;2;84;2 178;0,00 %;98,92 %;0,71 %;0,36 %
01346;Saint-Didier-d'Aussiat;3;84;863;0,00 %;0,00 %;91,15 %;8,85 %
01347;Saint-Didier-de-Formans;2;84;1 792;0,00 %;87,27 %;12,73 %;0,00 %
01348;Saint-Didier-sur-Chalaronne;3;84;2 776;0,00 %;0,00 %;97,03 %;2,97 %
01349;Saint-Éloi;3;84;399;0,00 %;0,00 %;84,13 %;15,87 %
01350;Saint-Étienne-du-Bois;3;84;2 441;0,00 %;0,00 %;91,29 %;8,71 %
01351;Saint-Étienne-sur-Chalaronne;3;84;1 468;0,00 %;0,00 %;93,43 %;6,57 %
01352;Saint-Étienne-sur-Reyssouze;3;84;531;0,00 %;0,00 %;84,49 %;15,51 %
01353;Sainte-Euphémie;2;84;1 482;0,00 %;84,82 %;14,12 %;1,07 %
01354;Saint-Genis-Pouilly;2;84;8 914;0,00 %;91,17 %;8,75 %;0,08 %
01355;Saint-Genis-sur-Menthon;3;84;408;0,00 %;0,00 %;80,26 %;19,74 %
01356;Saint-Georges-sur-Renon;4;84;197;0,00 %;0,00 %;0,00 %;100,00 %
01357;Saint-Germain-de-Joux;3;84;480;0,00 %;0,00 %;93,25 %;6,75 %
01358;Saint-Germain-les-Paroisses;3;84;387;0,00 %;0,00 %;84,26 %;15,74 %
01359;Saint-Germain-sur-Renon;4;84;236;0,00 %;0,00 %;6,89 %;93,11 %
01360;Saint-Jean-de-Gonville;3;84;1 496;0,00 %;47,86 %;52,04 %;0,11 %
01361;Saint-Jean-de-Niost;3;84;1 421;0,00 %;0,00 %;97,77 %;2,23 %
01362;Saint-Jean-de-Thurigneux;3;84;710;0,00 %;0,00 %;84,26 %;15,74 %
01363;Saint-Jean-le-Vieux;3;84;1 609;0,00 %;0,00 %;99,47 %;0,53 %
01364;Saint-Jean-sur-Reyssouze;3;84;744;0,00 %;0,00 %;70,00 %;30,00 %
01365;Saint-Jean-sur-Veyle;3;84;1 082;0,00 %;0,00 %;96,33 %;3,67 %
01366;Sainte-Julie;3;84;889;0,00 %;0,00 %;96,19 %;3,81 %
01367;Saint-Julien-sur-Reyssouze;3;84;668;0,00 %;0,00 %;95,14 %;4,86 %
01368;Saint-Julien-sur-Veyle;3;84;715;0,00 %;0,00 %;98,36 %;1,64 %
01369;Saint-Just;3;84;881;0,00 %;0,00 %;97,20 %;2,80 %
