;INDREP_red;iris;libcom17;lib_com16;lib_dep;REG;reg16;lib_reg;lib_reg16;LIB_EPCI16;BAT_red;CODEPOSTAL_red;CODSEGPATRIM_red;COMPLGEO_red;COMPLIDENT_red;construct_red;CONV_red;COULOIR_red;CUS_red;DATCONV_red;DEP;DEPCOM_red;depcom_red16;DPEDATE_red;DPEENERGIE_red;DPESERRE_red;DROIT_red;ENTREE_red;EPCI16;ESC_red;ETAGE_red;finan_red;IMMEU_red;LIBSEGPATRIM_red;LIEUDIT_red;locat_red;nbpiece_red;NOMVOIE_red;NUMAPPT_red;NUMBOITE_red;NUMCONV_red;NUMVOIE_red;origine_red;patrimoine_red;QPV_red;SRU_ALINEA_red;SRU_EXPIR_red;surfhab_red;TYPECONST_red;TYPVOIE_red;x;y;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district
19488;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;3;12;2;AGENCE GOUDY;NA;1986;4;PASSAGE DU CARROUSEL;8;;4486038M;16;1;1986;2;1;2020;89;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19489;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;0;12;2;AGENCE GOUDY;NA;1986;3;PASSAGE DU CARROUSEL;9;;4486038M;14;1;1986;2;1;2020;66;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19490;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;0;12;2;AGENCE GOUDY;NA;1986;3;PASSAGE DU CARROUSEL;10;;4486038M;14;1;1986;2;1;2020;68;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19491;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;1;12;2;AGENCE GOUDY;NA;1986;2;PASSAGE DU CARROUSEL;11;;4486038M;14;1;1986;2;1;2020;54;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19492;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;1;12;2;AGENCE GOUDY;NA;1986;3;PASSAGE DU CARROUSEL;12;;4486038M;14;1;1986;2;1;2020;69;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19493;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;1;12;2;AGENCE GOUDY;NA;1986;2;PASSAGE DU CARROUSEL;13;;4486038M;14;1;1986;2;1;2020;54;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19494;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;2;12;2;AGENCE GOUDY;NA;1986;2;PASSAGE DU CARROUSEL;14;;4486038M;14;1;1986;2;1;2020;54;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19495;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;2;12;2;AGENCE GOUDY;NA;1986;3;PASSAGE DU CARROUSEL;15;;4486038M;14;1;1986;2;1;2020;69;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19496;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;2;12;2;AGENCE GOUDY;NA;1986;2;PASSAGE DU CARROUSEL;16;;4486038M;14;1;1986;2;1;2020;54;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19497;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;2;3;12;2;AGENCE GOUDY;NA;1986;3;PASSAGE DU CARROUSEL;17;;4486038M;14;1;1986;2;1;2020;81;C;PASSAGE;355884.7;6689112.7;47.213076;-1.549055;14 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00014;14;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
